country,rho,pi,R2
Algeria,0.432790,0.195353,0.180293
Argentina,0.410833,0.079236,0.192541
Bolivia,0.516999,0.083559,0.286836
Botswana,0.519720,0.062822,0.325116
Brazil,0.530561,0.083782,0.314819
Burundi,0.589767,0.174433,0.340474
Cameroon,-0.046425,0.126360,0.002207
Central African Republic,0.856956,0.093946,0.713636
Chile,0.607936,0.092089,0.377410
China,0.746236,0.052279,0.609959
Colombia,0.288780,0.082444,0.084125
Comoros,0.332787,0.149992,0.111705
"Congo, Dem. Rep.",0.406482,0.142145,0.166761
Costa Rica,0.531330,0.072975,0.298058
Cote d'Ivoire,0.455886,0.156689,0.218953
Dominican Republic,0.443350,0.085770,0.191707
Ecuador,0.258681,0.089364,0.067716
"Egypt, Arab Rep.",0.704098,0.088625,0.503174
El Salvador,0.323030,0.130730,0.123592
Ghana,0.170030,0.094282,0.030421
Guatemala,-0.431489,0.107950,0.188126
Honduras,0.546517,0.097311,0.318744
India,0.632917,0.090060,0.383243
Indonesia,0.554750,0.107990,0.298931
Jordan,0.478324,0.083387,0.217861
Kenya,0.660685,0.070616,0.515368
"Korea, Rep.",0.689189,0.046127,0.406162
Madagascar,0.650388,0.087405,0.434234
Malaysia,0.508583,0.054230,0.267107
Mauritania,0.612701,0.079173,0.388035
Mauritius,0.571246,0.046231,0.398677
Mexico,0.784662,0.091497,0.595724
Morocco,0.411939,0.061595,0.168327
Mozambique,0.544085,0.084000,0.318232
Namibia,0.532538,0.079381,0.264074
Pakistan,0.608202,0.076095,0.391047
Paraguay,0.398128,0.118761,0.154621
Peru,0.518806,0.084478,0.270342
Philippines,0.529155,0.083625,0.348927
Rwanda,0.432506,0.216883,0.186237
Senegal,0.747402,0.085353,0.498091
South Africa,0.738392,0.040805,0.529869
Sudan,0.607258,0.091456,0.403110
Thailand,0.549679,0.040572,0.336395
Tunisia,0.744593,0.029398,0.554258
Turkey,0.316679,0.045789,0.108608
Uganda,0.519666,0.139716,0.353025
Uruguay,0.388571,0.066280,0.185982
"Venezuela, RB",0.285803,0.161288,0.083502
Zambia,0.691164,0.204761,0.473475
Zimbabwe,0.569444,0.054880,0.309587
