country,tot,tb,gdp,c,i
Algeria,100.0000,73.7197,9.9794,52.9333,13.3256
Argentina,100.0000,25.2645,30.5209,16.9529,25.9406
Bolivia,100.0000,2.4647,3.4543,10.5628,7.5521
Botswana,100.0000,27.6724,48.6190,36.7911,38.9923
Brazil,100.0000,43.4115,10.9375,3.7493,16.2250
Burundi,100.0000,7.2817,5.5128,6.6798,3.6934
Cameroon,100.0000,9.9573,2.4021,3.0678,2.3240
Central African Republic,100.0000,26.5745,4.1228,7.9428,9.5752
Chile,100.0000,31.0488,16.8833,12.4793,21.4842
China,100.0000,10.7051,10.4194,9.0855,32.7834
Colombia,100.0000,15.7251,32.6882,22.0630,20.8730
Comoros,100.0000,17.7854,5.5496,9.7621,20.9588
"Congo, Dem. Rep.",100.0000,4.4655,3.2688,3.5630,3.6859
Costa Rica,100.0000,18.9144,1.4052,1.5631,2.2323
Cote d'Ivoire,100.0000,20.0979,41.7353,38.5098,45.8130
Dominican Republic,100.0000,15.6409,17.6115,17.4025,25.5667
Ecuador,100.0000,41.9990,1.9931,13.9293,8.0291
"Egypt, Arab Rep.",100.0000,21.9302,0.9669,1.4670,12.8326
El Salvador,100.0000,10.7481,10.3102,10.1794,10.7113
Ghana,100.0000,2.5651,1.2125,1.7401,0.7466
Guatemala,100.0000,5.4317,2.5194,3.4290,4.8286
Honduras,100.0000,3.0627,1.4890,1.4099,3.3091
India,100.0000,2.7530,11.5122,17.9537,2.8388
Indonesia,100.0000,4.6671,9.7660,6.3905,13.8484
Jordan,100.0000,29.6046,14.2206,31.0050,3.0418
Kenya,100.0000,7.6938,0.1455,11.5956,2.7910
"Korea, Rep.",100.0000,20.6951,5.9663,10.8228,26.7232
Madagascar,100.0000,8.3653,4.1203,1.7263,1.5971
Malaysia,100.0000,17.4522,8.4133,11.6716,10.1204
Mauritania,100.0000,40.9028,12.7234,17.9537,13.1528
Mauritius,100.0000,12.2471,1.8109,9.6094,1.4965
Mexico,100.0000,10.7124,18.9891,12.1500,10.5353
Morocco,100.0000,1.5043,2.7209,1.0934,4.4486
Mozambique,100.0000,10.3337,1.5281,6.1608,4.5842
Namibia,100.0000,30.0630,13.6793,22.5566,3.1305
Pakistan,100.0000,11.1496,27.1808,11.5139,10.0851
Paraguay,100.0000,8.5403,11.1178,10.7827,10.2114
Peru,100.0000,11.8920,2.4227,4.8998,10.8577
Philippines,100.0000,21.5384,10.8481,14.2380,9.4229
Rwanda,100.0000,4.0274,0.9127,0.3278,0.1427
Senegal,100.0000,2.5145,0.4698,0.3512,2.0149
South Africa,100.0000,6.0642,13.1737,9.4697,10.1787
Sudan,100.0000,19.1030,38.5669,10.0561,20.7646
Thailand,100.0000,1.2922,4.1304,2.1592,3.1764
Tunisia,100.0000,22.3394,21.8549,17.6448,29.1249
Turkey,100.0000,2.9255,14.6287,19.8596,31.0851
Uganda,100.0000,42.2943,9.3255,5.1644,22.0744
Uruguay,100.0000,17.2777,34.2883,32.9478,14.3721
"Venezuela, RB",100.0000,41.8675,23.7500,33.5969,10.9855
Zambia,100.0000,42.1648,0.7754,33.3114,8.6488
Zimbabwe,100.0000,6.9815,10.3107,33.7573,16.8820
