country,tot_model,tot_svar,tb_model,tb_svar,y_model,y_svar,c_model,c_svar,i_model,i_svar
Algeria,100.0,100.0,301.7,73.7,38.5,10.0,325.2,52.9,55.3,13.3
Argentina,100.0,100.0,4.1,25.3,5.0,30.5,5.4,17.0,5.0,25.9
Bolivia,100.0,100.0,12.5,2.5,17.9,3.5,59.6,10.6,45.1,7.6
Botswana,100.0,100.0,9.7,27.7,16.8,48.6,6.0,36.8,11.1,39.0
Brazil,100.0,100.0,60.4,43.4,15.2,10.9,14.4,3.7,19.6,16.2
Burundi,100.0,100.0,42.1,7.3,29.0,5.5,45.0,6.7,17.8,3.7
Cameroon,100.0,100.0,8.5,10.0,1.7,2.4,1.8,3.1,1.7,2.3
Central African Republic,100.0,100.0,3758.2,26.6,551.3,4.1,511.4,7.9,1142.4,9.6
Chile,100.0,100.0,16.1,31.0,8.0,16.9,8.8,12.5,10.2,21.5
China,100.0,100.0,18.6,10.7,18.0,10.4,6.8,9.1,65.0,32.8
Colombia,100.0,100.0,6.2,15.7,13.2,32.7,24.3,22.1,8.9,20.9
Comoros,100.0,100.0,1223.5,17.8,376.8,5.5,7171.2,9.8,732.2,21.0
"Congo, Dem. Rep.",100.0,100.0,2.5,4.5,1.8,3.3,2.0,3.6,2.4,3.7
Costa Rica,100.0,100.0,387.5,18.9,25.1,1.4,221.0,1.6,41.7,2.2
Cote d'Ivoire,100.0,100.0,12.4,20.1,25.8,41.7,26.0,38.5,23.0,45.8
Dominican Republic,100.0,100.0,5.2,15.6,6.0,17.6,6.1,17.4,10.2,25.6
Ecuador,100.0,100.0,107.9,42.0,5.5,2.0,61.7,13.9,20.3,8.0
"Egypt, Arab Rep.",100.0,100.0,6460.0,21.9,290.6,1.0,6517.4,1.5,1114.4,12.8
El Salvador,100.0,100.0,20.0,10.7,19.9,10.3,22.3,10.2,23.6,10.7
Ghana,100.0,100.0,31.9,2.6,12.9,1.2,15.6,1.7,8.2,0.7
Guatemala,100.0,100.0,39.1,5.4,18.1,2.5,12.1,3.4,30.4,4.8
Honduras,100.0,100.0,225.4,3.1,106.1,1.5,42.2,1.4,250.4,3.3
India,100.0,100.0,114.5,2.8,473.0,11.5,280.2,18.0,139.5,2.8
Indonesia,100.0,100.0,23.5,4.7,49.2,9.8,23.1,6.4,30.4,13.8
Jordan,100.0,100.0,7.4,29.6,3.2,14.2,6.1,31.0,0.7,3.0
Kenya,100.0,100.0,2041.3,7.7,37.5,0.1,605.9,11.6,479.7,2.8
"Korea, Rep.",100.0,100.0,15.4,20.7,5.2,6.0,7.8,10.8,24.0,26.7
Madagascar,100.0,100.0,107.7,8.4,49.0,4.1,255.1,1.7,18.8,1.6
Malaysia,100.0,100.0,12.5,17.5,5.9,8.4,32.0,11.7,6.6,10.1
Mauritania,100.0,100.0,68.3,40.9,21.2,12.7,72.0,18.0,24.1,13.2
Mauritius,100.0,100.0,136.7,12.2,21.0,1.8,303.8,9.6,20.2,1.5
Mexico,100.0,100.0,51.0,10.7,92.5,19.0,219.4,12.2,58.9,10.5
Morocco,100.0,100.0,7.8,1.5,14.2,2.7,7.5,1.1,18.3,4.4
Mozambique,100.0,100.0,148.1,10.3,22.8,1.5,85.9,6.2,60.3,4.6
Namibia,100.0,100.0,189.4,30.1,80.0,13.7,92.6,22.6,17.9,3.1
Pakistan,100.0,100.0,48.2,11.1,119.7,27.2,71.6,11.5,41.9,10.1
Paraguay,100.0,100.0,17.5,8.5,21.6,11.1,17.9,10.8,20.4,10.2
Peru,100.0,100.0,29.1,11.9,5.3,2.4,9.0,4.9,24.9,10.9
Philippines,100.0,100.0,19.2,21.5,9.9,10.8,23.0,14.2,10.1,9.4
Rwanda,100.0,100.0,60.8,4.0,13.7,0.9,45.9,0.3,4.1,0.1
Senegal,100.0,100.0,2652.0,2.5,488.5,0.5,5162.1,0.4,536.4,2.0
South Africa,100.0,100.0,5.2,6.1,11.2,13.2,24.1,9.5,7.1,10.2
Sudan,100.0,100.0,26.5,19.1,53.4,38.6,23.3,10.1,23.8,20.8
Thailand,100.0,100.0,1.0,1.3,3.2,4.1,5.0,2.2,2.7,3.2
Tunisia,100.0,100.0,7.9,22.3,7.4,21.9,9.1,17.6,11.1,29.1
Turkey,100.0,100.0,2.8,2.9,13.8,14.6,6.4,19.9,11.1,31.1
Uganda,100.0,100.0,749.2,42.3,179.2,9.3,372.2,5.2,472.9,22.1
Uruguay,100.0,100.0,4.1,17.3,8.3,34.3,6.2,32.9,3.8,14.4
"Venezuela, RB",100.0,100.0,26.9,41.9,15.1,23.8,9.5,33.6,8.3,11.0
Zambia,100.0,100.0,2071.3,42.2,39.1,0.8,1345.8,33.3,374.9,8.6
Zimbabwe,100.0,100.0,3.2,7.0,4.7,10.3,7.2,33.8,2.2,16.9
