country,rho,pi,R2
Algeria,0.526424,0.276216,0.276992
Argentina,0.457149,0.109102,0.207856
Bolivia,0.529777,0.129205,0.243802
Botswana,0.189414,0.075940,0.047286
Brazil,0.391809,0.094200,0.147552
Burundi,0.518222,0.205496,0.269628
Cameroon,0.227855,0.161622,0.051652
Central African Republic,0.479211,0.128905,0.235309
Chile,0.540017,0.144354,0.273184
China,0.557037,0.062024,0.294995
Colombia,0.492950,0.106100,0.230274
Comoros,0.414522,0.156429,0.192318
"Congo, Dem. Rep.",0.454792,0.169703,0.194628
Costa Rica,0.378554,0.086054,0.137121
Cote d'Ivoire,0.438433,0.183561,0.191794
Dominican Republic,0.467174,0.095568,0.218983
Ecuador,0.433651,0.111557,0.217717
"Egypt, Arab Rep.",0.493718,0.123862,0.230611
El Salvador,0.328823,0.150868,0.122613
Ghana,0.602805,0.118481,0.348093
Guatemala,-0.193200,0.115304,0.040145
Honduras,0.470408,0.103864,0.222144
India,0.451544,0.103113,0.199713
Indonesia,0.435848,0.140659,0.195164
Jordan,0.627383,0.095733,0.296135
Kenya,0.363291,0.079564,0.137952
"Korea, Rep.",0.451187,0.070086,0.213720
Madagascar,0.383156,0.081713,0.173568
Malaysia,0.271659,0.054965,0.080591
Mauritania,0.487295,0.095761,0.245147
Mauritius,0.540551,0.063487,0.230182
Mexico,0.367519,0.089885,0.136015
Morocco,0.457552,0.089695,0.218361
Mozambique,0.441394,0.109662,0.194541
Namibia,0.473657,0.107214,0.229026
Pakistan,0.539687,0.108233,0.277236
Paraguay,0.402820,0.137769,0.173936
Peru,0.552139,0.115485,0.286008
Philippines,0.453401,0.096658,0.180014
Rwanda,0.488644,0.242038,0.258588
Senegal,0.552355,0.092211,0.305444
South Africa,0.318404,0.052265,0.106980
Sudan,0.569721,0.123103,0.298091
Thailand,0.508312,0.043519,0.258101
Tunisia,0.529907,0.039507,0.278433
Turkey,0.410403,0.059924,0.169542
Uganda,0.236861,0.171837,0.063742
Uruguay,0.529823,0.066075,0.281310
"Venezuela, RB",0.525355,0.248967,0.259342
Zambia,0.503645,0.229775,0.246709
Zimbabwe,0.153942,0.044573,0.024354
