country,rho,pi,R2
Algeria,0.317180,0.179322,0.099438
Argentina,0.335709,0.075872,0.125215
Bolivia,0.407040,0.078316,0.165403
Botswana,0.510207,0.060294,0.301346
Brazil,0.307184,0.072142,0.106300
Burundi,0.359667,0.156498,0.127648
Cameroon,-0.164369,0.117797,0.027240
Central African Republic,0.558151,0.076178,0.310874
Chile,0.510505,0.086475,0.261377
China,0.467946,0.044277,0.222019
Colombia,0.126656,0.076203,0.016068
Comoros,0.215117,0.140938,0.046715
"Congo, Dem. Rep.",0.201921,0.129261,0.040798
Costa Rica,0.443859,0.069034,0.202011
Cote d'Ivoire,0.171646,0.138015,0.029531
Dominican Republic,0.284708,0.078630,0.080679
Ecuador,0.183498,0.085560,0.033666
"Egypt, Arab Rep.",0.686803,0.083077,0.477022
El Salvador,0.278683,0.127108,0.086444
Ghana,0.094110,0.090247,0.009487
Guatemala,-0.527676,0.098355,0.279433
Honduras,0.448664,0.091634,0.208979
India,0.277015,0.076295,0.077197
Indonesia,0.385983,0.098706,0.149755
Jordan,0.371659,0.080337,0.121381
Kenya,0.449205,0.061049,0.224502
"Korea, Rep.",0.254583,0.036156,0.063738
Madagascar,0.470802,0.078254,0.230534
Malaysia,0.163859,0.044223,0.031411
Mauritania,0.357915,0.071244,0.124248
Mauritius,0.439617,0.041470,0.227258
Mexico,0.414432,0.075257,0.171747
Morocco,0.322346,0.058417,0.105368
Mozambique,0.251852,0.073852,0.064158
Namibia,0.431630,0.073601,0.188253
Pakistan,0.455214,0.069646,0.203520
Paraguay,0.222153,0.108551,0.049317
Peru,0.455687,0.080909,0.211047
Philippines,0.437272,0.077065,0.234834
Rwanda,0.324155,0.204198,0.104850
Senegal,0.222314,0.066511,0.047544
South Africa,0.424538,0.033479,0.237903
Sudan,0.397806,0.082017,0.162090
Thailand,0.297567,0.034719,0.112722
Tunisia,0.683119,0.027400,0.470384
Turkey,0.148966,0.041662,0.024477
Uganda,0.497158,0.132048,0.309094
Uruguay,0.271594,0.059263,0.101396
"Venezuela, RB",0.140686,0.147993,0.020088
Zambia,0.432891,0.181021,0.197592
Zimbabwe,0.161774,0.044874,0.029084
