country,tot,tb,gdp,c,i
Algeria,100.0000,38.2715,31.3592,36.4012,21.8868
Argentina,100.0000,11.9423,45.5742,30.0198,36.5226
Bolivia,100.0000,16.8143,17.9323,25.1289,15.3058
Botswana,100.0000,7.4795,16.1341,21.1731,16.7827
Brazil,100.0000,30.0548,17.0513,9.6199,21.9574
Burundi,100.0000,1.1862,2.1069,6.7060,2.8739
Cameroon,100.0000,4.9578,3.0331,9.0719,3.9716
Central African Republic,100.0000,11.5429,28.0041,2.4728,23.6497
Chile,100.0000,34.1560,13.4017,24.7070,20.1087
China,100.0000,12.1479,20.5910,13.9107,17.4105
Colombia,100.0000,17.5614,38.5578,18.2090,31.7802
Comoros,100.0000,12.9518,7.8955,4.3707,15.0363
"Congo, Dem. Rep.",100.0000,2.8313,11.4745,11.3154,4.5286
Costa Rica,100.0000,13.7732,2.8766,15.1115,7.0787
Cote d'Ivoire,100.0000,12.1316,4.9935,18.6690,7.8728
Dominican Republic,100.0000,8.8896,27.9831,31.9952,25.9973
Ecuador,100.0000,6.9723,19.5140,16.4821,3.0086
"Egypt, Arab Rep.",100.0000,39.6391,6.8856,6.1939,24.6780
El Salvador,100.0000,18.3608,1.9307,14.7160,1.3894
Ghana,100.0000,28.0054,35.2872,7.9129,7.4069
Guatemala,100.0000,8.2797,6.9158,5.6254,7.8815
Honduras,100.0000,6.2115,16.8466,5.6967,17.4524
India,100.0000,27.9256,17.0952,21.5453,8.3729
Indonesia,100.0000,9.9950,37.0837,4.0275,37.9935
Jordan,100.0000,38.0998,10.2372,28.0536,5.3303
Kenya,100.0000,46.7682,32.8588,39.9002,5.6707
"Korea, Rep.",100.0000,14.8989,29.6414,8.7486,22.5443
Madagascar,100.0000,16.4901,3.8231,11.5995,5.6671
Malaysia,100.0000,15.2000,45.1241,25.5378,26.0504
Mauritania,100.0000,29.3048,18.7332,22.8654,3.6438
Mauritius,100.0000,16.8895,17.7069,36.6607,9.5278
Mexico,100.0000,15.3648,29.0965,24.7921,11.3217
Morocco,100.0000,1.2018,4.5739,15.8359,22.9893
Mozambique,100.0000,8.5978,2.9886,2.7414,0.8128
Namibia,100.0000,48.2054,16.4102,23.1087,13.1338
Pakistan,100.0000,2.6795,1.0917,14.3366,0.5962
Paraguay,100.0000,2.7574,9.8002,7.1015,2.5695
Peru,100.0000,30.5990,4.9390,18.4247,14.4491
Philippines,100.0000,11.1402,10.7042,12.5740,14.1099
Rwanda,100.0000,20.4838,7.2692,15.5973,14.7023
Senegal,100.0000,2.5246,3.1957,8.8287,18.9440
South Africa,100.0000,4.5527,16.6429,0.4978,9.8085
Sudan,100.0000,1.6419,8.4066,12.0210,4.9339
Thailand,100.0000,4.0059,7.4392,4.2508,4.5029
Tunisia,100.0000,16.1435,24.7133,15.9355,16.2495
Turkey,100.0000,11.4049,5.9263,14.5136,8.9451
Uganda,100.0000,13.2357,12.9050,2.4726,27.9159
Uruguay,100.0000,21.5384,11.7088,8.8848,4.2339
"Venezuela, RB",100.0000,63.2388,26.2730,28.5420,23.5281
Zambia,100.0000,53.9361,0.8425,17.9797,24.2690
Zimbabwe,100.0000,2.9254,5.3398,18.8348,48.8084
