country,tot,tb,gdp,c,i
Algeria,100.0000,64.2356,16.8983,41.4746,16.9504
Argentina,100.0000,30.1104,44.0316,21.0745,31.5525
Bolivia,100.0000,13.2641,17.0055,18.7852,20.1318
Botswana,100.0000,32.7891,41.2418,30.1013,46.0136
Brazil,100.0000,27.6829,39.2634,24.7543,17.1203
Burundi,100.0000,9.8345,13.5539,11.1139,5.2384
Cameroon,100.0000,12.6309,0.8207,10.2319,1.7212
Central African Republic,100.0000,2.2518,24.4561,7.1778,4.3581
Chile,100.0000,42.4018,24.8907,17.3690,17.9097
China,100.0000,4.6681,52.0962,34.1564,28.1770
Colombia,100.0000,6.6611,20.1253,5.8326,10.3317
Comoros,100.0000,13.5574,1.9510,6.9820,13.6199
"Congo, Dem. Rep.",100.0000,11.7630,11.2002,11.3523,8.3747
Costa Rica,100.0000,17.5676,3.4942,3.8041,5.1114
Cote d'Ivoire,100.0000,18.0334,16.9561,22.7772,28.6078
Dominican Republic,100.0000,14.9021,15.3810,4.8417,34.7093
Ecuador,100.0000,38.2570,4.1592,25.8044,10.5392
"Egypt, Arab Rep.",100.0000,43.4027,0.9074,1.3989,36.2692
El Salvador,100.0000,9.7741,2.7782,4.7228,7.1107
Ghana,100.0000,11.2425,11.1404,5.1590,3.2668
Guatemala,100.0000,9.9681,1.9688,4.2756,10.1050
Honduras,100.0000,1.2389,4.7088,5.2016,3.5701
India,100.0000,19.5351,29.5245,13.8464,8.4324
Indonesia,100.0000,12.9404,21.2316,15.1817,32.1357
Jordan,100.0000,21.0858,8.6060,30.7148,3.1795
Kenya,100.0000,17.4063,6.4981,21.6881,9.6868
"Korea, Rep.",100.0000,11.0112,11.2506,3.4447,13.3171
Madagascar,100.0000,25.9116,1.1037,8.2251,4.3775
Malaysia,100.0000,4.7934,4.7799,1.1392,0.7888
Mauritania,100.0000,21.9145,12.6036,22.3575,3.0127
Mauritius,100.0000,18.4561,17.4355,24.8832,19.7520
Mexico,100.0000,14.5086,37.1151,11.9961,18.9855
Morocco,100.0000,4.2964,7.0003,11.3131,16.7606
Mozambique,100.0000,0.6349,5.5128,4.1940,1.7016
Namibia,100.0000,30.7183,6.4532,25.4392,7.6916
Pakistan,100.0000,3.1419,1.0231,0.6263,4.0142
Paraguay,100.0000,3.2328,16.6611,4.1554,8.8060
Peru,100.0000,17.1189,16.4885,15.5841,24.0674
Philippines,100.0000,16.1034,12.9778,14.6738,15.1507
Rwanda,100.0000,3.7497,0.8328,5.2769,3.1386
Senegal,100.0000,3.8862,0.5921,5.4683,9.0873
South Africa,100.0000,9.0081,1.6771,7.7631,5.5382
Sudan,100.0000,3.4453,4.5313,3.2536,5.0187
Thailand,100.0000,2.1636,1.7625,0.2245,0.0786
Tunisia,100.0000,17.2936,19.6671,17.0799,21.6068
Turkey,100.0000,4.6979,10.8947,11.0349,15.5666
Uganda,100.0000,49.6281,15.5808,5.9162,30.1471
Uruguay,100.0000,15.0280,26.1542,22.2231,16.5524
"Venezuela, RB",100.0000,42.1619,17.9925,30.4048,12.1313
Zambia,100.0000,58.6368,22.6959,28.6952,11.3693
Zimbabwe,100.0000,7.8100,5.4286,24.5356,12.0129
