Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,979344507.8,2023034713.1,2143951791.1,2480214113.7,2435844906,2485331046.1,2580623924.1,2587774666.5,2529865267.8,2596917266.2,2596050086.4,2751986638.9,2678760424.2,2661685956.5,3040072312.4,3555784339.6,3393247241.7,3428116975.5,3344095867.1,..
Afghanistan,AFG,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2496,1.3852,0.4823,0,2.9999,0,0,0,0,0,0,0.5705,0,0,0,0,0,0,0,..
Albania,ALB,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,511485756.3,632621789.2,786033591.2,883115193.8,458862737.5,491993448.6,517675961.3,624791791.8,773092900.6,1122055223.3,1154309753.2,1180989821.7,1550807967.9,1604463698.8,2126952749.1,2517944832.6,2968003033.7,4258015319,4606466990.7,5437682810.5,6485279264.8,7385570078.1,8648154911.3,8512992906.4,8447105962.8,8516021767.5,9801555134.1,9651016801.8,9274431083.1,10477651758.8,11054994588.4,10420148491.4,11315021852.5,10712630800.8,..
Albania,ALB,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.6757,1.8262,0.598,1.6894,3.3454,1.387,3.3275,2.6332,1.9061,3.459,3.2367,1.2416,1.7934,2.3309,2.0165,2.172,4.074,4.2726,7.072,5.981,2.2381,1.9022,1.9787,1.3006,3.4162,0.6807,1.6625,3.2853,1.317,2.6339,2.416,4.2443,5.1513,3.9176,..
Algeria,DZA,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,939559305.4,1260807888.7,1549785827.5,2991368810.9,3365980296.4,4632815496.7,6114379902.6,10598959726.9,15733600491,18505548616.7,19363299072.8,18370318142.2,17639470178.6,16367488197.1,15890285871.5,18260741782.4,22649736536.7,24448828591.3,26101327226.2,27248503765.9,28153911739.3,28489965549.1,27351247767.3,26274665108.1,30239373924.7,33048876968.7,33651326322.4,30896804008.7,30686949509,28203525381.3,25461612754.1,22747999963,23038055336.5,23769764316.8,22415803094.9,17082050354.3,5899332942,6130437725.6,6240595213.8,7414345918.6,7253019348.3,6054554674.7,5516939176.2,5247039317.8,5521236298.5,4671438792,5463041852.5,5706819221.4,5710492428.3,5492379098.5,5177879567.2,7378780279.1,7129258689.2,7315267064.9,6898271361,..
Algeria,DZA,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,5.6541,5.5127,6.0445,8.8595,6.7695,7.6079,7.9768,7.8177,8.8565,9.7661,8.1414,8.2964,9.4677,9.9482,9.6788,8.4048,7.2835,7.2833,7.45,7.7248,8.4125,7.3509,5.6606,5.2402,5.4413,6.5051,5.4714,5.5251,5.3703,4.8862,6.1835,3.214,2.9496,2.4822,3.5068,2.2733,1.7825,1.7126,3.8165,1.7888,0,1.9848,0,0,0,0,0.7499,0,0,0,0,0,0,0,0,..
Angola,AGO,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7288778066.3,8591895991.1,9000344458.8,10059207810.7,10571384637.8,11292755787.9,11502043062.1,10545818707.6,9948274153,10784076259.7,10673241870.4,9763465564.4,8776917205,9119036718.7,9114598189.4,9801188917.7,12238371900.2,9905180985.8,11941803690.9,15596027678.7,20277281252.9,26795572704.5,34679553283.4,36165323895.3,43350110779.1,45924334305.5,48771532654.3,57434097528.2,58745881698.6,61791490176.7,62292159789.9,65405244103.7,66019700768.5,60445747533.3,57273124300.5,58733063313.6,..
Angola,AGO,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.8966,6.931,4.9889,5.559,6.5614,6.9072,8.0972,7.285,7.6064,6.9622,7.8202,4.829,5,5.1683,3.558,3.0216,6.5605,4.6622,4.9243,4.5562,4.4514,3.7528,3.901,3.0584,3.8841,4.0483,5.0511,4.28,5.3494,5.5898,6.3574,3.7828,3.2321,5.0408,5.5487,5.0561,..
Argentina,ARG,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5893191433.6,6353903964.5,6893803268.3,7374621350.5,7798525658.1,7901576052.9,9501611014.5,11675739426.3,13507657037.8,21176835027.4,27322463712.9,35809463187.8,43787004262.2,46108319454.6,49060805832.6,51156733946,52688148843.8,58722673496.6,59015245403.5,65538413075.1,62477601311.9,65672366930.1,68605638952.4,64681387080.3,75094061335.7,98773122012.7,111145506414,128251441841.7,141504501057.7,151913800711.3,150062928187.3,152649929432.5,148320192549.3,163442688409.3,167999635827.3,130788488210.2,118921233033.8,120818039247.5,129751137881.3,133694134247.7,126641509908.2,142883776038.3,139876851066.6,150224280402.1,153793074987.6,177183976465.6,181637286190.7,225923967186.1,277825747406.2,280683596388,255603072878.8,246114307414,248976650822,252793904703.1,242357155703.1,..
Argentina,ARG,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,7.1894,7.5483,8.3691,8.5995,8.7932,7.6898,7.332,7.8457,9.5442,11.228,13.6681,11.8227,10.7791,11.8806,9.2017,10.1682,8.0037,8.2656,7.7029,8.0371,6.3707,7.9056,8.2112,7.0487,7.0792,6.8868,8.3067,8.1747,8.8656,9.6052,9.9308,6.2032,2.9231,3.3738,2.6655,4.9214,5.5382,6.5279,4.138,1.8326,2.6172,5.4845,1.9832,2.7234,5.6936,3.5964,10.0438,4.8113,7.9457,9.2428,2.4469,1.9128,1.2953,5.8951,5.0819,..
