"year","gdp","cons","pop","tby","gdp_pc","cons_pc","dy"
1960,429992444364.633,245701666650,72388126,-0.0518444035392101,5940.09636835512,3394.22610070055,NA
1961,466971794579.992,268397732290,74605447,-0.0529632685754291,6259.21850692741,3597.5621497181,0.0825012215117447
1962,497791933022.271,285494839800,76865323,-1.3678927074149,6476.1574347677,3714.22155866046,0.0639133257436519
1963,500778684620.405,283503475830,79164235,-0.0736935356743516,6325.81979249095,3581.20653638603,0.00598207167754694
1964,517805159897.498,293146566610,81488595,0.716187969763428,6354.32676066507,3597.39380228607,0.033434776086235
1965,530232483735.038,296145428460,83817583,2.1142937570739,6326.02927401328,3533.21365112616,0.0237165266173172
1966,565758060145.286,308693499980,86139359,0.79711370749194,6567.9390549596,3583.65216044851,0.0648509723196184
1967,589519898671.388,335812889240,88446124,0,6665.29941630215,3796.80729977495,0.0411419433311728
1968,647292848741.184,375211541420,90741240,-0.608877474024605,7133.39214607585,4134.96158328892,0.0934903430873391
1969,708785669371.596,359468629410,93045777,0.0672060765627429,7617.60170342385,3863.35243790806,0.0907543632684629
1970,782499378986.242,425465215240,95375651,-0.420322156161927,8204.39358244844,4460.94166361182,0.0989399478549053
1971,871257673141.854,480687622340,97739273,-1.73647597852929,8914.10020148046,4918.06013678862,0.107444640299239
1972,975288872304.538,536123120500,100146797,-1.58772469347878,9738.59276102997,5353.37261460294,0.112795937317085
1973,1111524261424.92,585182722940,102600976,-1.1664422780834,10833.4667442629,5703.48105596968,0.130753854406272
1974,1202157268165.65,655439877010,105089675,-5.62152244708184,11439.347092525,6236.95788392152,0.0783853844678681
1975,1264268515650.33,620849834210,107619565,-3.79831671558255,11747.5713235816,5768.93090220166,0.050376040137067
1976,1393946174968.11,729433597230,110213349,-2.38922183919798,12647.7072660963,6618.37793559835,0.0976449932302366
1977,1462728052357.32,813264960860,112875292,-0.66472709427916,12958.7975051025,7204.98655152981,0.0481645215415085
1978,1535424140031.4,828706265420,115600942,-1.19191543987775,13282.1075111256,7168.68090417464,0.0485034343925435
