"period","year","quarter","index"
"199601",1996,1,96.84
"199602",1996,2,100.12
"199603",1996,3,107.56
"199604",1996,4,104.31
"199701",1997,1,100.13
"199702",1997,2,104.88
"199703",1997,3,109.49
"199704",1997,4,108.21
"199801",1998,1,101.14
"199802",1998,2,106.46
"199803",1998,3,109.88
"199804",1998,4,106.66
"199901",1999,1,101.92
"199902",1999,2,106.04
"199903",1999,3,109.2
"199904",1999,4,108.97
"200001",2000,1,106.4
"200002",2000,2,110.25
"200003",2000,3,114.19
"200004",2000,4,113.98
"200101",2001,1,110.1
"200102",2001,2,112.82
"200103",2001,3,114.71
"200104",2001,4,113.38
"200201",2002,1,110.63
"200202",2002,2,115.41
"200203",2002,3,119.5
"200204",2002,4,119.24
"200301",2003,1,113.58
"200302",2003,2,116.31
"200303",2003,3,120.25
"200304",2003,4,119.94
"200401",2004,1,117.98
"200402",2004,2,123.65
"200403",2004,3,128.14
"200404",2004,4,127.39
"200501",2005,1,122.92
"200502",2005,2,129.18
"200503",2005,3,130.85
"200504",2005,4,130.13
"200601",2006,1,128.18
"200602",2006,2,132.13
"200603",2006,3,136.72
"200604",2006,4,136.37
"200701",2007,1,134.84
"200702",2007,2,140.77
"200703",2007,3,144.75
"200704",2007,4,145.43
"200801",2008,1,143.14
"200802",2008,2,149.69
"200803",2008,3,154.86
"200804",2008,4,146.92
"200901",2009,1,139.67
"200902",2009,2,146.39
"200903",2009,3,153.06
"200904",2009,4,154.75
"201001",2010,1,152.53
"201002",2010,2,158.86
"201003",2010,3,163.63
"201004",2010,4,163.55
"201101",2011,1,160.45
"201102",2011,2,166.33
"201103",2011,3,169.41
"201104",2011,4,167.75
"201201",2012,1,163.19
"201202",2012,2,167.97
"201203",2012,3,173.63
"201204",2012,4,171.91
"201301",2013,1,167.63
"201302",2013,2,174.73
"201303",2013,3,178.42
"201304",2013,4,176.26
"201401",2014,1,173.45
"201402",2014,2,173.97
"201403",2014,3,177.28
"201404",2014,4,175.86
"201501",2015,1,170.64
"201502",2015,2,169.2
"201503",2015,3,169.72
"201504",2015,4,166.15
"201601",2016,1,161.87
"201602",2016,2,163.75
"201603",2016,3,165.55
"201604",2016,4,162.39
"201701",2017,1,162.33
"201702",2017,2,165.04
"201703",2017,3,168.27
"201704",2017,4,166.58
"201801",2018,1,165.42
"201802",2018,2,167.71
"201803",2018,3,171.73
"201804",2018,4,169.17
"201901",2019,1,166.91
"201902",2019,2,169.68
"201903",2019,3,173.64
"201904",2019,4,172.03
"202001",2020,1,167.6
"202002",2020,2,152.48
"202003",2020,3,168.37
"202004",2020,4,171.46
"202101",2021,1,170.53
"202102",2021,2,171.38
"202103",2021,3,175.46
"202104",2021,4,173.96
"202201",2022,1,173.05
"202202",2022,2,177.45
"202203",2022,3,183.04
"202204",2022,4,178.65
"202301",2023,1,180.74
"202302",2023,2,184.28
"202303",2023,3,187.35
"202304",2023,4,182.9
"202401",2024,1,185.18
"202402",2024,2,190.68
"202403",2024,3,195.1
"202404",2024,4,189.45
"202501",2025,1,191.02
"202502",2025,2,195.18
"202503",2025,3,198.66
"202504",2025,4,192.94
"202601",2026,1,194.53
