"year","quarter","index","dy"
1996,1,99.41,NA
1996,2,100.6,0.0118995454415849
1996,3,104.31,0.0362149770222411
1996,4,103.32,-0.00953626646024031
1997,1,104.43,0.0106860222638181
1997,2,104.93,0.00477647067836173
1997,3,106.27,0.0126895642147842
1997,4,107.16,0.00834001929180417
1998,1,105.04,-0.0199818146818673
1998,2,106.85,0.0170847517706161
1998,3,106.81,-0.000374426663552363
1998,4,105.59,-0.0114878852831808
1999,1,105.78,0.0017977958194102
1999,2,106.34,0.00528004243835856
1999,3,106.34,0
1999,4,107.85,0.0140998647589736
2000,1,108.98,0.0104230063197868
2000,2,110.53,0.0141225981679112
2000,3,111.83,0.0116928837172336
2000,4,113.2,0.0121763047289853
2001,1,113.61,0.00361536481273017
2001,2,113.07,-0.0047644346346587
2001,3,112.47,-0.00532057653122386
2001,4,112.16,-0.00276009612965034
2002,1,114.94,0.0244838297933159
2002,2,115.19,0.00217268585881936
2002,3,116.8,0.0138801314557115
2002,4,118,0.0102215540715385
2003,1,117.47,-0.00450164262987052
2003,2,116.48,-0.00846339738741886
2003,3,117.58,0.00939936852573275
2003,4,118.81,0.0104066254960875
2004,1,120.44,0.0136261251433369
2004,2,123.76,0.0271925026512774
2004,3,125.34,0.012685838531719
2004,4,126.3,0.00762998455991593
2005,1,127.42,0.00882868733189657
2005,2,128.74,0.0103061499361283
2005,3,128.02,-0.00560836491061245
2005,4,129.64,0.0125748765594889
2006,1,131.75,0.0161448091481251
2006,2,132.14,0.0029557791802679
2006,3,134.35,0.0165863684597607
2006,4,135.92,0.0116181423021766
2007,1,138.49,0.0187316434909492
2007,2,140.8,0.0165423228693165
2007,3,142.26,0.0103159255814269
2007,4,144.42,0.0150693517176661
2008,1,146.26,0.0126601388197694
2008,2,149.18,0.0197677706842123
2008,3,151.64,0.0163556601211168
2008,4,145.92,-0.0384507643221133
2009,1,143.82,-0.0144960086516726
2009,2,146.48,0.0183263826919067
2009,3,149.9,0.0230795047422969
2009,4,153.77,0.0254895744190495
2010,1,156.93,0.0203418665230277
2010,2,158.94,0.0127269264614043
2010,3,160.34,0.0087697881027724
2010,4,162.63,0.0141811213255512
2011,1,164.8,0.0132549355350147
2011,2,166.48,0.0101425646100077
2011,3,166.11,-0.00222496258239335
2011,4,167.61,0.00898963263618135
2012,1,165.23,-0.0143014094762677
2012,2,168.22,0.0179342038713912
2012,3,171.1,0.0169755343638567
2012,4,171.16,0.00035061065046893
2013,1,172.09,0.00541880422820284
2013,2,174.44,0.0135632471977463
2013,3,175.28,0.00480385231264524
2013,4,175.56,0.0015961695328226
2014,1,177.03,0.00833834491715368
2014,2,174.43,-0.0147956947071437
2014,3,174.33,-0.000573460274919668
2014,4,175.24,0.00520640819057405
2015,1,173.84,-0.00802112699752389
2015,2,169.76,-0.0237496610825012
2015,3,166.96,-0.0166314120967277
2015,4,165.68,-0.00769604568161597
2016,1,163.31,-0.0144079819986773
2016,2,163.74,0.00262956885965071
2016,3,162.87,-0.00532746736283318
2016,4,162.68,-0.00116725554644503
2017,1,164.36,0.010274062976185
2017,2,165.74,0.00836115140568694
2017,3,166.1,0.0021697211983529
2017,4,167,0.00540379579750638
2018,1,168.04,0.0062082338844256
2018,2,167.83,-0.00125048398109318
2018,3,169.44,0.00954731953300847
2018,4,169.02,-0.00248183073675978
2019,1,169.51,0.00289487101405861
2019,2,170.5,0.00582337459317639
2019,3,170.54,0.00023457659033177
2019,4,172.04,0.00875713460163219
2020,1,168.09,-0.0232274576702327
2020,2,153.17,-0.0929511345688399
2020,3,165.31,0.0762740833884576
2020,4,171.65,0.0376350208387803
2021,1,173.15,0.00870075094472966
2021,2,171.94,-0.00701269210213251
2021,3,172.2,0.00151101324733194
2021,4,174.5,0.0132681496488516
2022,1,175.7,0.00685325355056943
2022,2,177.7,0.0113187399675549
2022,3,179.58,0.0105240559320565
2022,4,180.35,0.00427861625688575
2023,1,182.77,0.0133291244168028
2023,2,184.19,0.00773930176466031
2023,3,184.43,0.00130215416370305
2023,4,185.14,0.00384230794435059
2024,1,186.4,0.00678260661242547
2024,2,189.52,0.0165996575990395
2024,3,191.23,0.00898233222435252
2024,4,191.41,0.000940832183135676
2025,1,193.84,0.0126153522502523
2025,2,194.5,0.00339908655023091
2025,3,194.69,0.00097638693231783
2025,4,195.19,0.00256489316770026
2026,1,197.34,0.0109546862705008
