"iso","year","gdp_pc"
"BRA",1800,867
"BRA",1820,867
"BRA",1850,867
"BRA",1851,926
"BRA",1852,901
"BRA",1853,846
"BRA",1854,818
"BRA",1855,824
"BRA",1856,854
"BRA",1857,915
"BRA",1858,974
"BRA",1859,966
"BRA",1860,991
"BRA",1861,982
"BRA",1862,936
"BRA",1863,956
"BRA",1864,971
"BRA",1865,1042
"BRA",1866,1081
"BRA",1867,1170
"BRA",1868,1170
"BRA",1869,1170
"BRA",1870,1084
"BRA",1871,1084
"BRA",1872,1122
"BRA",1873,1089
"BRA",1874,1106
"BRA",1875,1122
"BRA",1876,1081
"BRA",1877,1050
"BRA",1878,1101
"BRA",1879,1109
"BRA",1880,1058
"BRA",1881,1068
"BRA",1882,1093
"BRA",1883,1063
"BRA",1884,1135
"BRA",1885,1055
"BRA",1886,1089
"BRA",1887,1017
"BRA",1888,977
"BRA",1889,991
"BRA",1890,1084
"BRA",1891,1152
"BRA",1892,999
"BRA",1893,850
"BRA",1894,850
"BRA",1895,1007
"BRA",1896,915
"BRA",1897,901
"BRA",1898,923
"BRA",1899,905
"BRA",1900,874
"BRA",1901,940
"BRA",1902,921
"BRA",1903,920
"BRA",1904,918
"BRA",1905,925
"BRA",1906,993
"BRA",1907,972
"BRA",1908,945
"BRA",1909,999
"BRA",1910,990
"BRA",1911,1076
"BRA",1912,1042
"BRA",1913,1046
"BRA",1914,1004
"BRA",1915,1028
"BRA",1916,1036
"BRA",1917,1086
"BRA",1918,1041
"BRA",1919,1154
"BRA",1920,1242
"BRA",1921,1242
"BRA",1922,1301
"BRA",1923,1347
"BRA",1924,1320
"BRA",1925,1298
"BRA",1926,1299
"BRA",1927,1366
"BRA",1928,1492
"BRA",1929,1465
"BRA",1930,1350
"BRA",1931,1294
"BRA",1932,1312
"BRA",1933,1387
"BRA",1934,1471
"BRA",1935,1482
"BRA",1936,1591
"BRA",1937,1610
"BRA",1938,1643
"BRA",1939,1627
"BRA",1940,1610
"BRA",1941,1683
"BRA",1942,1584
"BRA",1943,1763
"BRA",1944,1785
"BRA",1945,1792
"BRA",1946,1934
"BRA",1947,1956
"BRA",1948,2096
"BRA",1949,2204
"BRA",1950,2236
"BRA",1951,2279
"BRA",1952,2377
"BRA",1953,2418
"BRA",1954,2531
"BRA",1955,2675
"BRA",1956,2672
"BRA",1957,2793
"BRA",1958,3005
"BRA",1959,3201
"BRA",1960,3398
"BRA",1961,3585
"BRA",1962,3711
"BRA",1963,3623
"BRA",1964,3637
"BRA",1965,3617
"BRA",1966,3747
"BRA",1967,3795
"BRA",1968,4050
"BRA",1969,4313
"BRA",1970,4635
"BRA",1971,5024
"BRA",1972,5480
"BRA",1973,6086
"BRA",1974,6416
"BRA",1975,6582
"BRA",1976,7079
"BRA",1977,7248
"BRA",1978,7425
"BRA",1979,7736
"BRA",1980,8249
"BRA",1981,7709
"BRA",1982,7587
"BRA",1983,7203
"BRA",1984,7438
"BRA",1985,7862
"BRA",1986,8281
"BRA",1987,8402
"BRA",1988,8230
"BRA",1989,8333
"BRA",1990,7842
"BRA",1991,7888.0483
"BRA",1992,7812.7944
"BRA",1993,8166.2354
"BRA",1994,8615.688
"BRA",1995,8951.694
"BRA",1996,9124.516
"BRA",1997,9409.946
"BRA",1998,9419.107
"BRA",1999,9441.759
"BRA",2000,9834.425
"BRA",2001,9953.31
"BRA",2002,10245.069
"BRA",2003,10354.596
"BRA",2004,10949.66
"BRA",2005,11305.771
"BRA",2006,11766.605
"BRA",2007,12500.007
"BRA",2008,13164.012
"BRA",2009,13180.891
"BRA",2010,14215.612
"BRA",2011,14831
"BRA",2012,14985.498
"BRA",2013,15305.414
"BRA",2014,15251.89
"BRA",2015,14583.982
"BRA",2016,13990.646
"BRA",2017,14062.75
"BRA",2018,14197.55
"BRA",2019,14257.871
"BRA",2020,13685.926
"BRA",2021,14292.936
"BRA",2022,14640.076
"USA",1650,897
"USA",1720,1768.9856
"USA",1775,2419
"USA",1800,2545.488
"USA",1801,2591.7695
"USA",1802,2635.48
"USA",1803,2590.484
"USA",1804,2587.9128
"USA",1805,2643.1936
"USA",1806,2690.7607
"USA",1807,2717.7583
"USA",1808,2526.204
"USA",1809,2652.1929
"USA",1810,2725.472
"USA",1811,2780.7527
"USA",1812,2731.9
"USA",1813,2762.7544
"USA",1814,2815.464
"USA",1815,2803.8936
"USA",1816,2690.7607
"USA",1817,2688.1897
"USA",1818,2694.6177
"USA",1819,2690.7607
"USA",1820,2674.048
"USA",1821,2715.1873
"USA",1822,2791.0376
"USA",1823,2760.183
"USA",1824,2836.0337
"USA",1825,2897.7424
"USA",1826,2918.312
"USA",1827,2929.8823
"USA",1828,2929.8823
"USA",1829,2833.4624
"USA",1830,3039.1584
"USA",1831,3225.5703
"USA",1832,3342.56
"USA",1833,3459.5496
"USA",1834,3294.993
"USA",1835,3419.696
"USA",1836,3469.8345
"USA",1837,3360.5583
"USA",1838,3329.704
"USA",1839,3491.6897
"USA",1840,3319.4192
"USA",1841,3252.568
"USA",1842,3222.9993
"USA",1843,3274.423
"USA",1844,3453.1216
"USA",1845,3505.8313
"USA",1846,3526.401
"USA",1847,3618.964
"USA",1848,3712.8127
"USA",1849,3616.3928
"USA",1850,3631.82
"USA",1851,3778.3784
"USA",1852,3971.2185
"USA",1853,4242.48
"USA",1854,4254.0503
"USA",1855,4161.4873
"USA",1856,4247.6226
"USA",1857,4156.3447
"USA",1858,4176.9146
"USA",1859,4288.7617
"USA",1860,4401.8945
"USA",1861,4311.9023
"USA",1862,4446.8906
"USA",1863,4733.579
"USA",1864,4889.1367
"USA",1865,4637.159
"USA",1866,4599.877
"USA",1867,4751.5776
"USA",1868,4815.8574
"USA",1869,4943.132
"USA",1870,4803.0015
"USA",1871,4918.7056
"USA",1872,4991.985
"USA",1873,5116.688
"USA",1874,4964.9873
"USA",1875,5105.1177
"USA",1876,5049.837
"USA",1877,5098.6895
"USA",1878,5198.9663
"USA",1879,5715.778
"USA",1880,6255.7295
"USA",1881,6317.4385
"USA",1882,6557.8457
"USA",1883,6559.1313
"USA",1884,6523.1343
"USA",1885,6424.143
"USA",1886,6471.7104
"USA",1887,6616.9834
"USA",1888,6447.284
"USA",1889,6705.6895
"USA",1890,6664.5503
"USA",1891,6811.109
"USA",1892,7324.063
"USA",1893,6834.2495
"USA",1894,6510.2783
"USA",1895,7159.5063
"USA",1896,6885.674
"USA",1897,7406.342
"USA",1898,7426.911
"USA",1899,7959.1494
"USA",1900,8037.5713
"USA",1901,8770.363
"USA",1902,8684.228
"USA",1903,8941.348
"USA",1904,8663.658
"USA",1905,9121.332
"USA",1906,9980.113
"USA",1907,9950.544
"USA",1908,8975.976
"USA",1909,9798.118
"USA",1910,9636.783
"USA",1911,9735.89
"USA",1912,9976.567
"USA",1913,10107.97
"USA",1914,9096.372
"USA",1915,9164.177
"USA",1916,10222.32
"USA",1917,9769.078
"USA",1918,10471.306
"USA",1919,10449.78
"USA",1920,10152.927
"USA",1921,9674.881
"USA",1922,10009.715
"USA",1923,11071.243
"USA",1924,11126.713
"USA",1925,11149.772
"USA",1926,11647.768
"USA",1927,11532.397
"USA",1928,11451.069
"USA",1929,11954.235
"USA",1930,10694.982
"USA",1931,9930.964
"USA",1932,8380.504
"USA",1933,8048.2246
"USA",1934,8667.092
"USA",1935,9680.839
"USA",1936,10568.013
"USA",1937,11295.099
"USA",1938,10526.134
"USA",1939,11171.448
"USA",1940,12005.095
"USA",1941,13553.401
"USA",1942,14869.861
"USA",1943,16050.218
"USA",1944,16999.328
"USA",1945,16477.553
"USA",1946,14822.467
"USA",1947,14311.547
"USA",1948,14734.232
"USA",1949,14196.672
"USA",1950,15240
"USA",1951,16125
"USA",1952,16444
"USA",1953,16917
"USA",1954,16512
"USA",1955,17370
"USA",1956,17397
"USA",1957,17406
"USA",1958,16946
"USA",1959,17900
"USA",1960,18057
"USA",1961,18175
"USA",1962,18976
"USA",1963,19514
"USA",1964,20360
"USA",1965,21390
"USA",1966,22529
