"year","window","ratio"
1982,"20 years",2.13452189115469
1983,"20 years",2.14241644006604
1984,"20 years",2.09773532544661
1985,"20 years",2.10084471448727
1986,"20 years",2.1034832908426
1987,"20 years",2.2269325459272
1988,"20 years",2.28258097376357
1989,"20 years",2.20676404681222
1990,"20 years",1.9319600246928
1991,"20 years",1.93535500385918
1992,"20 years",1.9484483936802
1993,"20 years",2.01399226609496
1994,"20 years",1.96219646413847
1995,"20 years",1.92306864823691
1996,"20 years",1.91068676838047
1997,"20 years",1.86898369688153
1998,"20 years",1.86164979044828
1999,"20 years",1.85188823009981
2000,"20 years",1.34979332401822
2001,"20 years",1.45381388573572
2002,"20 years",1.4465873049439
2003,"20 years",1.54372056682056
2004,"20 years",1.56051914225476
2005,"20 years",1.64620220480806
2006,"20 years",1.52760213363917
2007,"20 years",1.38005065323499
2008,"20 years",1.18364972030312
2009,"20 years",1.07668868533201
2010,"20 years",1.2258908229016
2011,"20 years",1.24615780359646
2012,"20 years",1.23022346194992
2013,"20 years",1.23445984326313
2014,"20 years",1.22651426456987
2015,"20 years",1.05571771545282
2016,"20 years",1.14430533729265
2017,"20 years",1.13359551022505
2018,"20 years",1.11296077779873
2019,"20 years",1.08738406417613
2020,"20 years",1.1547460611949
2021,"20 years",1.06030754274312
2022,"20 years",1.0619721702853
2023,"20 years",1.02154190367167
2024,"20 years",1.07663807744469
2025,"20 years",1.07999667225276
1992,"30 years",1.95366758685071
1993,"30 years",1.99617719351934
1994,"30 years",1.98725454001308
1995,"30 years",2.02988651779906
1996,"30 years",2.01762470635537
1997,"30 years",2.0420131475966
1998,"30 years",2.04746453014959
1999,"30 years",1.96950531039203
2000,"30 years",1.90309765052496
2001,"30 years",1.89949766790543
2002,"30 years",1.91578817195869
2003,"30 years",2.0040150385811
2004,"30 years",1.92472437999009
2005,"30 years",1.84904309820064
2006,"30 years",1.82088062633522
2007,"30 years",1.77079873248098
2008,"30 years",1.77437185428796
2009,"30 years",1.74809602331389
2010,"30 years",1.30575514379597
2011,"30 years",1.3812522435568
2012,"30 years",1.38610944737909
2013,"30 years",1.44343063984608
2014,"30 years",1.47556005363942
2015,"30 years",1.46978979077831
2016,"30 years",1.4183295461778
2017,"30 years",1.30111317493768
2018,"30 years",1.12975884872918
2019,"30 years",1.07078227126486
2020,"30 years",1.27084353396001
2021,"30 years",1.18749331686497
2022,"30 years",1.192084066357
2023,"30 years",1.20533430889559
2024,"30 years",1.23161312544064
2025,"30 years",1.12370643351742
