"iso","name","region","income","sigma_er","openness","n"
"AGO","Angola","Sub-Saharan Africa","Lower middle income",1.08415837379558,74.3825661849962,23
"ALB","Albania","Europe & Central Asia","Upper middle income",0.115655263365682,67.8421309981251,33
"ARE","United Arab Emirates","Middle East, North Africa, Afghanistan & Pakistan","High income",6.4310311858707e-05,147.634132821483,23
"ARG","Argentina","Latin America & Caribbean","Upper middle income",0.31952350671405,28.4660101114559,35
"ARM","Armenia","Europe & Central Asia","Upper middle income",0.627706649583207,82.1294446980299,32
"AUS","Australia","East Asia & Pacific","High income",0.0863699212070926,40.7142665697121,35
"AUT","Austria","Europe & Central Asia","High income",0.449342510102243,92.5990069610875,35
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",0.524660021290396,87.6090108708247,33
"BEL","Belgium","Europe & Central Asia","High income",0.632001100369909,144.899322026642,35
"BEN","Benin","Sub-Saharan Africa","Lower middle income",0.137362813377739,51.6308665258497,35
"BFA","Burkina Faso","Sub-Saharan Africa","Low income",0.137418942684747,45.8262536737441,35
"BGD","Bangladesh","South Asia","Lower middle income",0.03842717518458,31.9405484187211,35
"BGR","Bulgaria","Europe & Central Asia","High income",0.436662068679038,103.336481846295,34
"BHR","Bahrain","Middle East, North Africa, Afghanistan & Pakistan","High income",1.77556648765108e-08,144.970677750137,35
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",0.075746977927908,92.0941382741778,28
"BLR","Belarus","Europe & Central Asia","Upper middle income",0.416474172063114,125.208331240317,31
"BOL","Bolivia","Latin America & Caribbean","Lower middle income",0.0420419810800276,57.652347502336,35
"BRA","Brazil","Latin America & Caribbean","Upper middle income",0.825090714601557,24.9308796949648,35
"BRN","Brunei Darussalam","East Asia & Pacific","High income",0.0435495432610211,92.271803043058,35
"BTN","Bhutan","South Asia","Lower middle income",0.0674339855910586,85.0924459298714,35
"BWA","Botswana","Sub-Saharan Africa","Upper middle income",0.0803241018131674,93.8938981559927,35
"CAF","Central African Republic","Sub-Saharan Africa","Low income",0.137418942684747,43.2775332525333,35
"CAN","Canada","North America","High income",0.0555395127589821,66.1787876019167,35
"CHE","Switzerland","Europe & Central Asia","High income",0.0692672598895583,105.588238910166,35
"CHL","Chile","Latin America & Caribbean","High income",0.0779953820154333,62.6138005306116,35
"CHN","China","East Asia & Pacific","Upper middle income",0.0786083360358015,41.1443326863433,35
"CIV","Cote d'Ivoire","Sub-Saharan Africa","Lower middle income",0.137418942684747,56.5615288080715,35
"CMR","Cameroon","Sub-Saharan Africa","Lower middle income",0.137418942684747,42.8884783874034,35
"COD","Congo, Dem. Rep.","Sub-Saharan Africa","Low income",1.38834120283919,60.9157029718853,30
"COG","Congo, Rep.","Sub-Saharan Africa","Lower middle income",0.137418942684747,112.289471281241,35
"COL","Colombia","Latin America & Caribbean","Upper middle income",0.107008782646975,36.6988773134355,35
"COM","Comoros","Sub-Saharan Africa","Lower middle income",0.0998589323831538,37.8988142450477,35
"CPV","Cabo Verde","Sub-Saharan Africa","Upper middle income",0.0781068383208325,89.7534045800717,35
"CRI","Costa Rica","Latin America & Caribbean","High income",0.0787113615645767,75.7738479446801,35
"CYP","Cyprus","Europe & Central Asia","High income",0.105798312251612,131.293644051538,35
"CZE","Czechia","Europe & Central Asia","High income",0.0886728557215946,114.562546881293,32
"DEU","Germany","Europe & Central Asia","High income",0.132512382190369,65.4104991290236,35
"DNK","Denmark","Europe & Central Asia","High income",0.0765772865732113,92.3884477284575,35
"DOM","Dominican Republic","Latin America & Caribbean","Upper middle income",0.134319689174896,64.0242143859461,35
"DZA","Algeria","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",0.151778578536292,54.4640462499534,35
"ECU","Ecuador","Latin America & Caribbean","Upper middle income",1.6303219511988,54.0606764216748,35
"EGY","Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",0.184779470020254,46.5607637040568,35
"ERI","Eritrea","Sub-Saharan Africa","Low income",0.118798150473895,71.9149224083902,20
"ESP","Spain","Europe & Central Asia","High income",0.875277845463647,55.9206103747002,35
"EST","Estonia","Europe & Central Asia","High income",0.509678414470191,143.729768745499,32
"FIN","Finland","Europe & Central Asia","High income",0.31360269197101,72.1029339806194,35
"FJI","Fiji","East Asia & Pacific","Upper middle income",0.0812536544978706,115.965089762458,35
"FRA","France","Europe & Central Asia","High income",0.324484000992742,56.8135401175175,35
"FRO","Faroe Islands","Europe & Central Asia","High income",0.0765772865732113,99.6277479028794,35
"GAB","Gabon","Sub-Saharan Africa","Upper middle income",0.137418942684747,85.7955849183861,35
"GBR","United Kingdom","Europe & Central Asia","High income",0.0663777633398924,55.8012066539456,35
"GEO","Georgia","Europe & Central Asia","Upper middle income",0.105848530725639,88.0749804380846,29
"GHA","Ghana","Sub-Saharan Africa","Lower middle income",0.152117858613073,73.9671555946378,35
"GIN","Guinea","Sub-Saharan Africa","Lower middle income",0.122318241963011,63.7093261313166,31
"GMB","Gambia, The","Sub-Saharan Africa","Low income",0.0916540013573566,53.1511505665579,35
"GNB","Guinea-Bissau","Sub-Saharan Africa","Low income",0.137418942684747,47.2645063214047,35
"GNQ","Equatorial Guinea","Sub-Saharan Africa","Upper middle income",0.137418942684747,104.28259193733,20
"GRC","Greece","Europe & Central Asia","High income",0.999961820184323,57.6912780835964,35
"GRL","Greenland","Europe & Central Asia","High income",0.0765772865732115,93.5552554659993,21
"GTM","Guatemala","Latin America & Caribbean","Upper middle income",0.0400890164176406,53.2269639477573,35
"HKG","Hong Kong SAR, China","East Asia & Pacific","High income",0.00321178486795083,324.110157141824,35
"HND","Honduras","Latin America & Caribbean","Lower middle income",0.0216793677368596,112.061233802696,25
"HRV","Croatia","Europe & Central Asia","High income",0.606747158233458,84.6635144876269,30
"HTI","Haiti","Latin America & Caribbean","Lower middle income",0.133037886056487,36.8496333756275,35
"HUN","Hungary","Europe & Central Asia","High income",0.103058045712905,132.69068520093,34
"IDN","Indonesia","East Asia & Pacific","Upper middle income",0.22444410297903,52.2186322880933,35
"IND","India","South Asia","Lower middle income",0.0674339855910586,36.7419695156245,35
"IRL","Ireland","Europe & Central Asia","High income",0.0890141534544206,178.820688272447,35
"IRN","Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",0.556737581566899,44.1127164879231,34
"IRQ","Iraq","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",0.0494804747603308,71.2251506285457,34
"ISL","Iceland","Europe & Central Asia","High income",0.11611223937702,77.9830335206394,35
"ISR","Israel","Middle East, North Africa, Afghanistan & Pakistan","High income",0.067541294702722,62.8084145752752,35
"ITA","Italy","Europe & Central Asia","High income",1.2946130626231,50.6192363751919,35
"JPN","Japan","East Asia & Pacific","High income",0.0941212731883027,27.1590708578112,35
"KAZ","Kazakhstan","Europe & Central Asia","Upper middle income",0.149922442901178,78.1042745512763,31
"KEN","Kenya","Sub-Saharan Africa","Lower middle income",0.11784231982697,50.3738243914222,35
"KGZ","Kyrgyz Republic","Europe & Central Asia","Lower middle income",0.139090487130779,103.72747871312,31
"KHM","Cambodia","East Asia & Pacific","Lower middle income",0.182104501600404,113.088341199683,32
"KIR","Kiribati","East Asia & Pacific","Lower middle income",0.0863699212070925,101.060888631697,35
"KOR","Korea, Rep.","East Asia & Pacific","High income",0.10161009236957,69.8817637014857,35
"KWT","Kuwait","Middle East, North Africa, Afghanistan & Pakistan","High income",0.0225632923723202,94.1934530577574,33
"LAO","Lao PDR","East Asia & Pacific","Lower middle income",0.219565983648995,71.9451253026531,27
